rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Vera,Pöhl,Vera Pöhl,Female,Germany,,https://ui-avatars.com/api/?name=V+P&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
2,Isa,Braun,Isa Braun,Female,,,https://ui-avatars.com/api/?name=I+B&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
3,Laura,Berger,Laura Berger,Female,,,https://ui-avatars.com/api/?name=L+B&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
4,Charlotte,Schindler,Charlotte Schindler,Female,Germany,CFM,https://ui-avatars.com/api/?name=C+S&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
5,Andrea,Sommer,Andrea Sommer,Female,,,https://ui-avatars.com/api/?name=A+S&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
6,Martina,Burkert,Martina Burkert,Female,,,https://ui-avatars.com/api/?name=M+B&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
7,Marion,Le Flecher,Marion Le Flecher,Female,,,https://ui-avatars.com/api/?name=M+L+F&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
8,Ilona,Lipovska,Ilona Lipovska,Female,,,https://athxgames.com/storage/profile-photos/UwqLRB1YtwuvwoSUPDUGMEKG4RCeVgDFJEsxiGEZ.png,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
9,Chloe,Canham,Chloe Canham,Female,,,https://ui-avatars.com/api/?name=C+C&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
10,Svenja,Rojem-Wagner,Svenja Rojem-Wagner,Female,,,https://ui-avatars.com/api/?name=S+R&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
11,Jülly-Inna,Liang,Jülly-Inna Liang,Female,,,https://ui-avatars.com/api/?name=J+L&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
12,Josi,Sandhaus,Josi Sandhaus,Female,Germany,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
13,Georgette,Vazquez,Georgette Vazquez,Female,,,https://ui-avatars.com/api/?name=G+V&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
14,Xiuping,Ngo,Xiuping Ngo,Female,,,https://ui-avatars.com/api/?name=X+N&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
15,Lara,Vila Moreno,Lara Vila Moreno,Female,,,https://ui-avatars.com/api/?name=L+V+M&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
16,Burcin,Özcelik,Burcin Özcelik,Female,,,https://ui-avatars.com/api/?name=B+%C3%96&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
17,Anne,Koch,Anne Koch,Female,,,https://ui-avatars.com/api/?name=A+K&color=FFFFFF&background=000000,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,Endurance,,,,,
