rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,James Sprague & Ty Jenkins,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,09:29,,,,,,1
2,Felix Taudte & Malte Golldack-Bosen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,12:53,,,,,,2
3,Joe Gilbert & Guy Kennedy,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,13:27,,,,,,3
4,Michael Krenz & Jakob Herold,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,14:22,,,,,,4
5,Maurits Schön & Chase Frankenfeld,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,14:50,,,,,,5
6,Cooper Marsh & Kevin Roevens,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,15:27,,,,,,6
7,Sören Findeisen & Pascal Petersen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,15:48,,,,,,7
8,James McMillian & Keith Lawrence,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,15:54,,,,,,8
9,Lennart Palausch & Bosse Jordt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,16:24,,,,,,9
10,Jacob Overgaard & Jesper Skov Christensen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,17:03,,,,,,10
11,Michael Ricatto & Oliver Nink,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,17:51,,,,,,11
12,Martin Petersen & Bjarne Jensen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,18:27,,,,,,12
13,Tyler Alexander & Sam Baza,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,18:37,,,,,,13
14,Marco Engel & Tilman Link,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,19:44,,,,,,14
15,Helge Weiger & Dennis Stupka,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,20:30,,,,,,15
16,Julian Möller & Leif Lindfors,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,20:45,,,,,,16
17,Massimo De Lieto & Renato La Rana,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Pro,MetCon X,,,23:00,,,,,,17
1,Michelle Krahnenfeld & Lina Michaelis,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,1
2,Laura Thomanek & Tamara Becker,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,2
3,Tanima Frank & Maryna Kyrchun,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,3
