rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Chris,Ward,Chris Ward,Male,,,https://ui-avatars.com/api/?name=C+W&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
2,Luke,Rogers,Luke Rogers,Male,,,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
3,Graeme,Gilbert,Graeme Gilbert,Male,,,https://ui-avatars.com/api/?name=G+G&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
3,Ashley,Cunliffe,Ashley Cunliffe,Male,,,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
3,Andrew,Brown,Andrew Brown,Male,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
3,Daniel,Howard,Daniel Howard,Male,,,https://ui-avatars.com/api/?name=D+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
7,Joe,Raymond,Joe Raymond,Male,,,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
8,Todd,Flanagan-jones,Todd Flanagan-jones,Male,,,https://ui-avatars.com/api/?name=T+F&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
9,Kyle,Craig,Kyle Craig,Male,,,https://ui-avatars.com/api/?name=K+C&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
10,Keith,Garner,Keith Garner,Male,,,https://ui-avatars.com/api/?name=K+G&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
11,Dan,Jones,Dan Jones,Male,,,https://ui-avatars.com/api/?name=D+J&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
12,Will,Shaw,Will Shaw,Male,,,https://ui-avatars.com/api/?name=W+S&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
13,andrew,coupe,andrew coupe,Male,,,https://athxgames.com/storage/profile-photos/rWn9xxBqs9KSjF7OnQZFsdQDqwbAlZgH7doUSbLw.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
13,Blessing,Chelinje,Blessing Chelinje,Male,,,https://ui-avatars.com/api/?name=B+C&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
13,Jake,Maunders,Jake Maunders,Male,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
13,Luke,Veebel,Luke Veebel,Male,,,https://ui-avatars.com/api/?name=L+V&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
13,Arran,Arogundade,Arran Arogundade,Male,,,https://ui-avatars.com/api/?name=A+A&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
18,David,Mcfarland,David Mcfarland,Male,,,https://ui-avatars.com/api/?name=D+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
19,David,Kelly,David Kelly,Male,,,https://ui-avatars.com/api/?name=D+K&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
20,Scott,Taylor,Scott Taylor,Male,,,https://ui-avatars.com/api/?name=S+T&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
20,James,Mott,James Mott,Male,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
20,Jodee,Pearce,Jodee Pearce,Male,,,https://ui-avatars.com/api/?name=J+P&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
20,Euan,McPherson,Euan McPherson,Male,,,https://ui-avatars.com/api/?name=E+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
24,Miles,Canning,Miles Canning,Male,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
25,DAISHAWN,HONOHAN,DAISHAWN HONOHAN,Male,,,https://ui-avatars.com/api/?name=D+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Nick,Court,Nick Court,Male,United Kingdom,CrossFit Fixus,https://athxgames.com/storage/profile-photos/ODWVx8os3A4BBZmyF8DaRg0Z8VRkfrjyA6o5otCo.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Ben,Whitworth,Ben Whitworth,Male,,,https://ui-avatars.com/api/?name=B+W&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Ed,Sirmbardis,Ed Sirmbardis,Male,,,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Lewis,Hawkins,Lewis Hawkins,Male,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
