rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Chandler,Smith,Chandler Smith,Male,,,https://ui-avatars.com/api/?name=C+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,1
2,Tom,Kingdon,Tom Kingdon,Male,,,https://ui-avatars.com/api/?name=T+K&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,2
3,Joseph,Harper,Joseph Harper,Male,,,https://ui-avatars.com/api/?name=J+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,3
4,Tobias,Rogers,Tobias Rogers,Male,,,https://ui-avatars.com/api/?name=T+R&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,4
5,Mathias,Moosmann,Mathias Moosmann,Male,Germany,Athletenfabrik,https://athxgames.com/storage/profile-photos/0fqVQD4QqbVz36dttMhuwToRNKZmyTa9smWGSd7o.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,5
6,Danny,Ashton,Danny Ashton,Male,,,https://ui-avatars.com/api/?name=D+A&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,6
7,Mick,King,Mick King,Male,Ireland,The Strength Shed,https://ui-avatars.com/api/?name=M+K&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,7
8,Ross,Montgomery,Ross Montgomery,Male,,,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,8
9,Aaron,Curto,Aaron Curto,Male,,,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,9
10,Anthony,Cheetham,Anthony Cheetham,Male,United Kingdom,Biffa Fitness,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,10
11,Jamie,Wilson,Jamie Wilson,Male,,,https://ui-avatars.com/api/?name=J+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,11
12,Joe,Holland,Joe Holland,Male,,,https://ui-avatars.com/api/?name=J+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,12
13,Fabian,Johnson,Fabian Johnson,Male,United Kingdom,Marchon,https://athxgames.com/storage/profile-photos/ERY0izAiNIA7iqSt2lkS1s5qICA0roeGCNn8PfD1.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,13
14,Ash,Jones,Ash Jones,Male,,,https://ui-avatars.com/api/?name=A+J&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,14
15,Daniel,McNeil,Daniel McNeil,Male,,,https://ui-avatars.com/api/?name=D+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,15
16,Michael,Rowland,Michael Rowland,Male,United Kingdom,CrossFit Beorn,https://athxgames.com/storage/profile-photos/rVxMRwEHgLqmPbNYMl8wN0ikLBCU0cTvZTrJ8NH2.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,16
17,Junior,Oby Obi,Junior Oby Obi,Male,Belgium,MensHaWB,https://ui-avatars.com/api/?name=J+O+O&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,17
18,John,Mckeown,John Mckeown,Male,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Endurance,,,,,,,,,18
