rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Alfie,Burton,Alfie Burton,Male,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
2,Jerome,Anyata,Jerome Anyata,Male,,,https://ui-avatars.com/api/?name=J+A&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
3,Taryn,Skinner,Taryn Skinner,Male,,,https://ui-avatars.com/api/?name=T+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
4,Christian,Nolde,Christian Nolde,Male,,,https://ui-avatars.com/api/?name=C+N&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
5,James,Grimee,James Grimee,Male,,,https://ui-avatars.com/api/?name=J+G&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
6,Matthew,Wells,Matthew Wells,Male,,,https://ui-avatars.com/api/?name=M+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
7,Dan,Jones,Dan Jones,Male,,,https://ui-avatars.com/api/?name=D+J&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
8,James,Burton,James Burton,Male,,,https://ui-avatars.com/api/?name=J+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
9,James,Tyas,James Tyas,Male,,,https://ui-avatars.com/api/?name=J+T&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
10,Thomas,Farrand,Thomas Farrand,Male,,,https://ui-avatars.com/api/?name=T+F&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
11,William,Meldrum,William Meldrum,Male,,,https://ui-avatars.com/api/?name=W+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
12,Aaron,Edwards,Aaron Edwards,Male,,,https://ui-avatars.com/api/?name=A+E&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
13,Ethan,Greene,Ethan Greene,Male,,,https://ui-avatars.com/api/?name=E+G&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
