rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Luke,Rogers,Luke Rogers,Male,,,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
2,Tom,Rawlins,Tom Rawlins,Male,,,https://ui-avatars.com/api/?name=T+R&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
2,Jerome,Anyata,Jerome Anyata,Male,,,https://ui-avatars.com/api/?name=J+A&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
4,Daniel,Furnell,Daniel Furnell,Male,,,https://ui-avatars.com/api/?name=D+F&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
4,Gary,Sharlott,Gary Sharlott,Male,,,https://ui-avatars.com/api/?name=G+S&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
6,Adam,Newman,Adam Newman,Male,,,https://ui-avatars.com/api/?name=A+N&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
6,Billy,Brown,Billy Brown,Male,United Kingdom,Dual Strength & Fitness,https://athxgames.com/storage/profile-photos/t8EkikOXXxoqjCFcJaWJ2z6vMycFDNPz5A4iUKUU.jpg,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
8,Andrew,Alexander,Andrew Alexander,Male,,,https://ui-avatars.com/api/?name=A+A&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
9,Max,Craven,Max Craven,Male,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
10,Richard,James,Richard James,Male,United Kingdom,The Park,https://ui-avatars.com/api/?name=R+J&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
