rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Jessie,Smith,Jessie Smith,Female,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
2,Jessie,Smith,Jessie Smith,Female,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
3,Emma,Häggström,Emma Häggström,Female,Sweden,Limhamns Crossfit,https://ui-avatars.com/api/?name=E+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
4,Jade,Smith,Jade Smith,Female,United Kingdom,CrossFit Oakham,https://athxgames.com/storage/profile-photos/FlssK5GtwgJ0aLbneyZttYiEMBGniy0HxvkKv58u.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
4,Robin,Swinkels,Robin Swinkels,Female,Netherlands,EindhovenGym,https://ui-avatars.com/api/?name=R+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
6,Emma,Häggström,Emma Häggström,Female,Sweden,Limhamns Crossfit,https://ui-avatars.com/api/?name=E+H&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
6,Erin,Hay,Erin Hay,Female,,,https://ui-avatars.com/api/?name=E+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
8,Jade,Smith,Jade Smith,Female,United Kingdom,CrossFit Oakham,https://athxgames.com/storage/profile-photos/FlssK5GtwgJ0aLbneyZttYiEMBGniy0HxvkKv58u.jpg,ATHX CARDIFF 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
9,Jenni,Banks,Jenni Banks,Female,,,https://ui-avatars.com/api/?name=J+B&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
10,Mhairi,Clelland,Mhairi Clelland,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
11,Tamara,O’Sullivan,Tamara O’Sullivan,Female,,,https://ui-avatars.com/api/?name=T+O&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
12,Anna,Donauer,Anna Donauer,Female,,,https://ui-avatars.com/api/?name=A+D&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
13,Ursula,Hardy,Ursula Hardy,Female,,,https://ui-avatars.com/api/?name=U+H&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
14,Lizzie,Hall,Lizzie Hall,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
15,Robin,Swinkels,Robin Swinkels,Female,Netherlands,EindhovenGym,https://ui-avatars.com/api/?name=R+S&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
15,Hannah,Taylor,Hannah Taylor,Female,,,https://ui-avatars.com/api/?name=H+T&color=FFFFFF&background=000000,ATHX CARDIFF 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
15,Keziah,Campbell,Keziah Campbell,Female,,,https://ui-avatars.com/api/?name=K+C&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
18,Nicola,McArthur,Nicola McArthur,Female,,,https://athxgames.com/storage/profile-photos/7mnZIQ8iC1ibb4yJUoferjU1TRp7Q4kUZWh2Wzp9.jpg,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
18,Lizzie,White,Lizzie White,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
20,Jade,Mellor,Jade Mellor,Female,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
21,Lizzie,White,Lizzie White,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
21,Keziah,Campbell,Keziah Campbell,Female,,,https://ui-avatars.com/api/?name=K+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
23,Melanie,Bradley,Melanie Bradley,Female,,,https://ui-avatars.com/api/?name=M+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
24,Lucy,Freeman,Lucy Freeman,Female,,,https://ui-avatars.com/api/?name=L+F&color=FFFFFF&background=000000,ATHX CARDIFF 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
24,Melissa,Morrison,Melissa Morrison,Female,,,https://athxgames.com/storage/profile-photos/WELnVK163eaDhROxhbUsaLlmSJYD5xjBOc5pkCYM.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
26,Melanie,Bradley,Melanie Bradley,Female,,,https://ui-avatars.com/api/?name=M+B&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
27,Beth,Altham,Beth Altham,Female,,,https://ui-avatars.com/api/?name=B+A&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
28,Sarah Jayne,Smith-Jones,Sarah Jayne Smith-Jones,Female,United Kingdom,,https://ui-avatars.com/api/?name=S+J+S&color=FFFFFF&background=000000,ATHX CARDIFF 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
28,Donna,Owen,Donna Owen,Female,,,https://ui-avatars.com/api/?name=D+O&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
30,Jade,Brier,Jade Brier,Female,,,https://athxgames.com/storage/profile-photos/Lws1CDZ3o3sRPMuD74rODo8Y77UYvKDsZ4ZPgByB.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
31,Ruth,Davidson,Ruth Davidson,Female,,,https://ui-avatars.com/api/?name=R+D&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
32,Gemma,Pegler,Gemma Pegler,Female,,,https://ui-avatars.com/api/?name=G+P&color=FFFFFF&background=000000,ATHX CARDIFF 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
33,Anastassija,Nikitina,Anastassija Nikitina,Female,,,https://ui-avatars.com/api/?name=A+N&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
34,Ruth,Davidson,Ruth Davidson,Female,,,https://ui-avatars.com/api/?name=R+D&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
34,Jade,Brier,Jade Brier,Female,,,https://athxgames.com/storage/profile-photos/Lws1CDZ3o3sRPMuD74rODo8Y77UYvKDsZ4ZPgByB.jpg,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
34,Yasmin Orla,Wahli,Yasmin Orla Wahli,Female,,,https://ui-avatars.com/api/?name=Y+O+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
37,Gigi,Erhardt,Gigi Erhardt,Female,,,https://ui-avatars.com/api/?name=G+E&color=FFFFFF&background=000000,ATHX LONDON 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
37,Eilidh,McGillivray,Eilidh McGillivray,Female,,,https://ui-avatars.com/api/?name=E+M&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
37,Cara,Halliday,Cara Halliday,Female,United Kingdom,SORELLA,https://ui-avatars.com/api/?name=C+H&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
37,Vanessa,Herder,Vanessa Herder,Female,,,https://ui-avatars.com/api/?name=V+H&color=FFFFFF&background=000000,ATHX GLASGOW 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,Strength,,,,,
