rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Nicolaj Kjerstein,Overgaard,Nicolaj Kjerstein Overgaard,Male,Denmark,The Cross Box,https://athxgames.com/storage/profile-photos/8JzTmb8FDEjuewrxdcaqUps79ENuc93yCyRgwJs6.jpg,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.978KM,2.536KM
2,Suravit,Rutz,Suravit Rutz,Male,Germany,Flensfitness,https://ui-avatars.com/api/?name=S+R&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.772KM,2.668KM
3,Elio,Daniele,Elio Daniele,Male,,,https://ui-avatars.com/api/?name=E+D&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,2.232KM,2.205KM
4,Benedikt,Grimm,Benedikt Grimm,Male,Germany,,https://athxgames.com/storage/profile-photos/SU3PQkqaVaz3dlCQiZukCVu0tOIQrTCAn30kUGjc.jpg,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,2KM,2.408KM
5,Oskar,Aurell,Oskar Aurell,Male,,,https://ui-avatars.com/api/?name=O+A&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.5KM,2.714KM
6,Finn-Birger,Henningsen,Finn-Birger Henningsen,Male,,,https://ui-avatars.com/api/?name=F+H&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.5KM,2.592KM
7,Joseph,Turton,Joseph Turton,Male,,,https://ui-avatars.com/api/?name=J+T&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.651KM,2.413KM
8,Peter,Mortensen,Peter Mortensen,Male,,,https://ui-avatars.com/api/?name=P+M&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.5KM,2.539KM
9,Poul,Leth Lorentsen,Poul Leth Lorentsen,Male,,,https://ui-avatars.com/api/?name=P+L+L&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.5KM,2.533KM
10,Sam,Hanson,Sam Hanson,Male,,,https://ui-avatars.com/api/?name=S+H&color=FFFFFF&background=000000,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,1.786KM,2.242KM
