rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Brian,Mc neice,Brian Mc neice,Male,,GRANITE,https://ui-avatars.com/api/?name=B+M+n&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,75KG,170KG,160KG,,
1,Anthony,Mullen,Anthony Mullen,Male,Ireland,Granite,https://ui-avatars.com/api/?name=A+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,75KG,170KG,160KG,,
3,Colum,Mcgrail,Colum Mcgrail,Male,,,https://ui-avatars.com/api/?name=C+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,65KG,135KG,170KG,,
4,Chris,Hunter,Chris Hunter,Male,,,https://ui-avatars.com/api/?name=C+H&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,68KG,135KG,165KG,,
5,Paddy,Dixon,Paddy Dixon,Male,,,https://ui-avatars.com/api/?name=P+D&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,60KG,120KG,160KG,,
5,David,Tiernan,David Tiernan,Male,,,https://ui-avatars.com/api/?name=D+T&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,65KG,135KG,140KG,,
7,Shane,Lyons,Shane Lyons,Male,,,https://ui-avatars.com/api/?name=S+L&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,70KG,110KG,155KG,,
7,Aidan,Mc Erlain,Aidan Mc Erlain,Male,Ireland,Benmore Crossfit,https://ui-avatars.com/api/?name=A+M+E&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,70KG,125KG,140KG,,
9,Liam Óg,Mulligan,Liam Óg Mulligan,Male,,,https://ui-avatars.com/api/?name=L+%C3%93+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,60KG,100KG,160KG,,
10,Jose,Araújo,Jose Araújo,Male,Portugal,Insular Crossfit Naval Box,https://ui-avatars.com/api/?name=J+A&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,55KG,118KG,135KG,,
11,Chris,Curran,Chris Curran,Male,Ireland,Sharktank Training Loughmacrory,https://ui-avatars.com/api/?name=C+C&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Male,ATHX Lite,Strength,50KG,110KG,125KG,,
