rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Grace,Mannion,Grace Mannion,Female,,,https://ui-avatars.com/api/?name=G+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,1 (303KG),2 (4.557KM),1 (09:37),,,,,,4
2,Katherine,Perry,Katherine Perry,Female,,Hybrid Human,https://ui-avatars.com/api/?name=K+P&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,7 (260KG),1 (4.617KM),7 (10:43),,,,,,15
3,Gemma,Dixon,Gemma Dixon,Female,,,https://ui-avatars.com/api/?name=G+D&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,4 (285KG),6 (4.518KM),8 (11:08),,,,,,18
4,Kristýna,Hellerová,Kristýna Hellerová,Female,,,https://ui-avatars.com/api/?name=K+H&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,10 (256KG),7 (4.5KM),2 (10:01),,,,,,19
5,Niamh,Mcphillips,Niamh Mcphillips,Female,,,https://ui-avatars.com/api/?name=N+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,7 (260KG),8 (4.499KM),6 (10:39),,,,,,21
6,Francesca,Walshe,Francesca Walshe,Female,,,https://ui-avatars.com/api/?name=F+W&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,9 (258KG),3 (4.552KM),10 (11:19),,,,,,22
7,Marjane,Asmahri,Marjane Asmahri,Female,,,https://ui-avatars.com/api/?name=M+A&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,17 (228KG),4 (4.543KM),4 (10:33),,,,,,25
8,Lucie,Nechalova,Lucie Nechalova,Female,Czech Republic,Perpetua,https://ui-avatars.com/api/?name=L+N&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,12 (253KG),5 (4.519KM),9 (11:09),,,,,,26
9,Alison,Wilson,Alison Wilson,Female,United Kingdom,Base Training Club,https://athxgames.com/storage/profile-photos/4T8iM9qVsyQOd2N0WdTH3Ykvk1vAdlyJ69561KDO.jpg,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,13 (248KG),14 (4.278KM),4 (10:33),,,,,,31
10,Catherine,McBride,Catherine McBride,Female,,,https://ui-avatars.com/api/?name=C+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,3 (291KG),18 (4.238KM),11 (11:22),,,,,,32
11,Jenny,Wylie,Jenny Wylie,Female,,,https://ui-avatars.com/api/?name=J+W&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,5 (266KG),15 (4.261KM),14 (12:14),,,,,,34
12,Kellyann,Halstead,Kellyann Halstead,Female,,,https://ui-avatars.com/api/?name=K+H&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,23 (220KG),9 (4.497KM),3 (10:29),,,,,,35
13,Emma,O Brien,Emma O Brien,Female,Ireland,,https://ui-avatars.com/api/?name=E+O+B&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,14 (245KG),16 (4.252KM),12 (11:25),,,,,,42
14,Lana,Perić-McDermott,Lana Perić-McDermott,Female,Canada,,https://ui-avatars.com/api/?name=L+P&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,6 (263KG),13 (4.301KM),25 (13:40),,,,,,44
15,Esther,Murphy Akanji,Esther Murphy Akanji,Female,,,https://ui-avatars.com/api/?name=E+M+A&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,1 (303KG),24 (4.111KM),20 (12:57),,,,,,45
16,Sue,Howley,Sue Howley,Female,,,https://ui-avatars.com/api/?name=S+H&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,23 (220KG),10 (4.355KM),12 (11:25),,,,,,45
17,Roisin,Markey,Roisin Markey,Female,,,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,15 (233KG),20 (4.168KM),16 (12:29),,,,,,51
18,Nil,Celebi,Nil Celebi,Female,,,https://ui-avatars.com/api/?name=N+C&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,27 (210KG),11 (4.348KM),21 (12:59),,,,,,59
19,Julia,Gruszczynska,Julia Gruszczynska,Female,,,https://ui-avatars.com/api/?name=J+G&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,20 (221KG),25 (3.984KM),17 (12:47),,,,,,62
20,Jennifer,Johnston,Jennifer Johnston,Female,Ireland,FitHouse Belfast,https://ui-avatars.com/api/?name=J+J&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,20 (221KG),17 (4.241KM),27 (13:59),,,,,,64
21,Natalie,Blumenthal,Natalie Blumenthal,Female,,,https://ui-avatars.com/api/?name=N+B&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,19 (225KG),30 (3.791KM),19 (12:52),,,,,,68
22,Amy,Byrne,Amy Byrne,Female,Ireland,Hybrid,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,23 (220KG),27 (3.956KM),22 (13:16),,,,,,72
23,Sarah,McKenna,Sarah McKenna,Female,Ireland,Granite,https://ui-avatars.com/api/?name=S+M&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,35 (190KG),21 (4.154KM),18 (12:51),,,,,,74
24,Kate,Ring,Kate Ring,Female,,,https://ui-avatars.com/api/?name=K+R&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,34 (194KG),12 (4.335KM),30 (14:17),,,,,,76
25,Nikki,Lowndes,Nikki Lowndes,Female,Ireland,,https://ui-avatars.com/api/?name=N+L&color=FFFFFF&background=000000,ATHX DUBLIN 2026,Ireland 🇮🇪,2026,Female,ATHX,Overall,11 (255KG),33 (3.758KM),34 (15:08),,,,,,78
