rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Emma,MARCELLIN,Emma MARCELLIN,Female,,,https://ui-avatars.com/api/?name=E+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.25KM,2.806KM
2,Tiarna,Grimes,Tiarna Grimes,Female,,,https://ui-avatars.com/api/?name=T+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.25KM,2.752KM
3,Andrea,Kraus,Andrea Kraus,Female,,,https://ui-avatars.com/api/?name=A+K&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.137KM,2.763KM
4,Iwona,Syroka-Pawelec,Iwona Syroka-Pawelec,Female,,EastSide CrossFit,https://ui-avatars.com/api/?name=I+S&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.25KM,2.585KM
5,Marina,Gutierrez,Marina Gutierrez,Female,,,https://ui-avatars.com/api/?name=M+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,1.969KM,2.846KM
6,Alicia,Chatrie,Alicia Chatrie,Female,,,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.048KM,2.761KM
7,Andrea,Hendry,Andrea Hendry,Female,,,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,1.753KM,2.992KM
8,Sabrina,Riccobene,Sabrina Riccobene,Female,Italy,Buulmoose,https://ui-avatars.com/api/?name=S+R&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,1.5KM,3.241KM
9,Selina,Lobo,Selina Lobo,Female,,,https://ui-avatars.com/api/?name=S+L&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,2.199KM,2.472KM
10,Rosie,Nethercott,Rosie Nethercott,Female,,,https://ui-avatars.com/api/?name=R+N&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Female,ATHX,Endurance,,,,1.5KM,3.15KM
