rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Alejandro González Delgado & Sergio Moreno,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,2 (685KG),1 (9.823KM),1 (11:00),,,,,,4
2,Alvaro Pedroso & Fernando TR,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,3 (675KG),4 (8.428KM),3 (13:11),,,,,,10
3,Joaquin Romero & Ángel Oliveros,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,6 (581KG),3 (8.751KM),2 (12:04),,,,,,11
4,Vicente Toldos & Pol Guasch,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,5 (590KG),2 (8.812KM),5 (13:48),,,,,,12
5,Miguel Ángel García Jurado & Alejandro Siles Palencia,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,4 (653KG),5 (8.102KM),4 (13:27),,,,,,13
6,Andy Gardner & matt Team,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,1 (770KG),7 (7.638KM),6 (16:49),,,,,,14
7,Etienne Prost & Nicolas Espinoza,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Lite,Overall,7 (365KG),6 (7.994KM),7 (19:53),,,,,,20
1,Bianca Magdaleno & olga frutos,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,1 (604KG),2 (8.802KM),1 (13:53),,,,,,4
2,Alexandra Ferreira & Ana Machado,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,3 (509KG),4 (8.669KM),3 (14:55),,,,,,10
3,TERESA PEREIRA VILLA & Paula García,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,2 (557KG),7 (8.554KM),4 (15:00),,,,,,13
4,Patricia de Diego Diaz & Ainhoa Fernandez,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,12 (483KG),1 (8.885KM),2 (14:10),,,,,,15
5,Maria Alvarez Rufino & Neuza Pereira,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,8 (491KG),3 (8.787KM),9 (16:07),,,,,,20
6,Ali Whittaker & Marie Pinnington,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,15 (469KG),9 (8.504KM),7 (15:53),,,,,,31
7,Elisa Adorni & Maria Palli,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,19 (446KG),5 (8.623KM),8 (15:56),,,,,,32
7,Catherine Wray & maddy wray,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,4 (500KG),12 (8.415KM),16 (17:00),,,,,,32
9,Tanya van den Berg & Danae van den Berg,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,6 (493KG),15 (8.33KM),12 (16:24),,,,,,33
10,Georgia Appleyard & Jamie Appleyard,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,6 (493KG),8 (8.533KM),21 (17:55),,,,,,35
