rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Mariah Monahan & Gabriel Gonzalez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.566KM,5.119KM,1
2,Kevin Piedrahita & Laura Salazar,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.539KM,5.138KM,2
3,Yeismilay Arvelo & AJ Martinez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.455KM,5.092KM,3
4,Monica Vega & Giorgio Rapicavoli,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.139KM,4.849KM,4
5,Jesus Caicedo amador & Lorena Di Bella,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4KM,4.985KM,5
6,WHITNEY BAYLESS & Allan Ajoy,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.101KM,4.712KM,6
7,Sonia Suarez alonso & Delano Pinheiro,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.248KM,4.556KM,7
8,Angela Moon & Gustavo Lima,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.75KM,5.017KM,8
9,Josh Vasquez & Dayana Perez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.75KM,4.945KM,9
10,Juan Campos & Ariana Pacheco,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.775KM,4.89KM,10
11,Tara Philion & William Loheide,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.75KM,4.865KM,11
12,Kimberly Miller & Nathan Cruz,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.196KM,4.329KM,12
13,Yosiel Piloto & Abril Altieri,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.498KM,4.994KM,13
14,Daniela Barbieri & Jose Manjarres,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.75KM,4.714KM,14
15,Marcelo Martinez & Caitlin Onks,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.812KM,4.581KM,15
16,Merissa Carpenito & Joe Farley,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4.5KM,3.821KM,16
17,Christopher Peete & Claressa Peete,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.167KM,4.776KM,17
18,Jorge Fernandez & Maria Camila,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.25KM,4.637KM,18
19,Joao Monteiro & Maria Belfort,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.75KM,3.792KM,19
20,Andres Konowalskyj & Andrea Vergel,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,3.436KM,3.993KM,20
21,Ariella Jonas & Christopher Dorazio,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,4KM,3KM,21
22,Veronika Toussaint & Ali Faison,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX,Endurance,,,,,,,2.96KM,3.463KM,22
1,Ivan Verdun & Nate Scola,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,Endurance,,,,,,,5KM,6.115KM,1
2,Gibran Rodriguez & Alan Garcia,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,Endurance,,,,,,,4.947KM,5.705KM,2
3,Boris San Martin & David Anderson,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,Endurance,,,,,,,5.02KM,5.63KM,3
4,Stephan Mixter & Lucas Bistoquet,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,Endurance,,,,,,,4.64KM,5.649KM,4
5,Nicolas Fernandez & Esteban Ospina,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,Endurance,,,,,,,4.488KM,5.723KM,5
