rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Christopher,Peete,Christopher Peete,Male,,,https://ui-avatars.com/api/?name=C+P&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,100KG,190KG,230KG,,
2,Justin,Tapper,Justin Tapper,Male,,,https://ui-avatars.com/api/?name=J+T&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,100KG,190KG,210KG,,
3,Bryan,Stewart,Bryan Stewart,Male,,,https://ui-avatars.com/api/?name=B+S&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,95KG,190KG,210KG,,
4,Eddy,Rivero,Eddy Rivero,Male,,,https://ui-avatars.com/api/?name=E+R&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,90KG,180KG,190KG,,
5,Joao,Monteiro,Joao Monteiro,Male,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,80KG,180KG,180KG,,
6,Patrick,Sprague,Patrick Sprague,Male,,,https://ui-avatars.com/api/?name=P+S&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,60KG,170KG,202KG,,
7,Levi,Cox,Levi Cox,Male,,,https://ui-avatars.com/api/?name=L+C&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,90KG,160KG,180KG,,
7,Danny,Tuckerman,Danny Tuckerman,Male,,,https://ui-avatars.com/api/?name=D+T&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,80KG,160KG,190KG,,
9,Giorgio,Rapicavoli,Giorgio Rapicavoli,Male,,,https://ui-avatars.com/api/?name=G+R&color=FFFFFF&background=000000,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,93KG,150KG,180KG,,
10,Corbin,Mims,Corbin Mims,Male,,,https://athxgames.com/storage/profile-photos/i2M1mbRTayVabKeRTZ3WPLlwfUo3P5OE0fO0lBXC.jpg,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,55KG,160KG,180KG,,
